الإسم
مصعب
معاذ
مصطفى
نادر
نبراس
هاشم
وافي
أمجد
أنس
باهر
بدر
بشر
بشار
سفيانر
شادير
أدهم
أديب
آدم
جاد
عاصم
إياد
أيمن
باسل
جواد
حمد
حاتم
خلدون
راكان
راجح
زياد
زامل
زيات
سامي
صلاح
ضاوي
ضارع
ضاحي
طلال
طلق
عزامر
عياش
غسان
غنام
فهد
قابوس
قيس
قصي
لقمان
محمد
فراس
ليث
مشعل
نشوان
نيروز
هيثم
هجرس
هيف
وافي
وقاص
وهب
وردان
يزيد
يوسف
أثير
أسامة
منصف
معتز
بلال
بنان
بهاء
سهيل
مروان
معاذ
سراج
آسر
علي
مزمل
أحمد
أديب
اصف
بيبرس
بطرس
تليد
ثابت
ثاقب
جابر
جروان
جلاء
جلوان
سام
حيان
خلف
داري
دالي
دائبر
رامز
رامي
رئال
رئبال
زاجل
شاهر
صابر
طارق
ظريفر
عدي
علاء
عمار
عواد
غيث
غياث
فؤاد
فياض
فيصل
قسورة
قتيبة
لبيد
لطيف
مجاهد
محسن
مراد
مؤيد
نابغ
هادي
هاني
هشام
وابل
وليدر
ياسر
ياسين
يافع
آدم
يوسف
ساجد
إبراهيم
عمّار
يحيى
خالد
جسَّار
مُعاذ
أركان
آسر
مازن
نائل
مصعب
نديم
كاظم
كنعان
لامي
لبيد
لؤي
ليث
مهند
نعمان
نمير
نواف
نيار
يافع
يامن
زَيد
أيهم
أدهم
اشهب
أوس
كهير
مثنى
كرار
كليم
سرمد
أمان
مُلهم
أبسم
فاهد
صَفِيّ
باسل
مَيْسَرة
غيّاث، غِياث
شاهين
زيدان
عيّاش
زاهر، زهران
ريان
مُهاب
باسيل
ضرغام
جواد
بوراك
باريش
باريست
أكين
أنجين
عثمان
شيرفان
شيار
بارق
تائب
تاج
آرن
آزاد
آصف
أجاويد
أرقم
أ
َكْثَم
أَكْنَان
نائل
نَاجِد
وئام
أُبيّ
عمر
إسحق
يوسف
أكمل
إلياس
ألبرت
بشوي
عتريس
مينا
أبانوب
أندراوس
أخاب
أخنوخ
إدوارد
أرسانيوس
جون
كلارك
بيتر
هنري
أرميا
إيليا
ألفونس
ألمى
آيلا
أشرقت
أروى
أسيل
أبرار
أريج
آسيا
أسمهان
أيسل
أفنان
أصالة
أمنية
أضواء
بانسيه
بيري
بيسان
بدر
برديس
برلنتي
بروين
بتول
بلقيس
بونيتا
بيان
بسنت
تاليا
تارا
تسنيم
تمارا
تغريد
تماضر
تحية
ثريا
ثناء
ثراء
ثمراء
رقية
رانيا
رنيم
ريم
رفاء
ريناد
ريتال
رهف
رفيف
رودينا
روفان
رباب
ربى
ريهام
رضوى
روناء
زينة
زينب
زاد
زهرة
زليخة
سلوى
سلمى
سيلا
سيلين
سولاف
سوفانا
ساندي
سالي
سارا
سيرين
سندس
شيماء
شيرين
شروق
شهد
شاهند
شاهيناز
شمس
صبا
صوفيا
صفاء
صفية
صابرين
صباح
ضحى
ضي
طيبة
طيف
طيوب
طرب
طائلة
عايدة
عائشة
عالية
علا
علياء
عنان
عهد
عنود
غادة
غيداء
غنى
غدير
غصون
فدوى
فاطمة
فاتن
فرح
فريال
فريدة
فيروز
كارما
كارلا
كارمن
كادي
كندا
كنزي
لمى
لمياء
لارا
لمار
لبنى
لدنّ
من
مي
مليكة
ميرال
ميار
ميسرة
ميسون
منار
منة
ميادة
ندى
نورهان
نوران
نرمين
نسرين
نورسين
نورين
ناريمان
نانيس
ناردين
نداء
هنا
هاجر
هند
هانيا
هدير
هيا
هبة
هايدي
هنادي
وسام
وئام
وصال
ورد
وداد
يارا
ياسمين
تبارك
تبيان
بسملة
تقى
تقوى
جودي
حراء
غسق
فداء
قصواء
مريم
رفيدة
أميمة
إستبرق
سندس
آلاء
آمال
آمنة
آيات
ائتلاف
ابتسام
ابتعاث
ابتهاج
ابتهال
أجوان
أزهار
أسرار
إسعاد
أسل
أسمى
أشواق
أصالة
أصيلة
اعتزاز
اعتكاف
اعتماد
إقبال
اكتمال
إكرام
ألفة
ألفت
ألمي
إلهام
أماني
أمنية
أسماء
أسمار
أشجان
أرينا
أريحة
إشراق
أنهار
أيسر
إيمان
أسمى
أسوة
أنيسة
أيكة
إسراء
أسمهان
إشفاق
إنصاف
إنعام
بنان
بديعة
براءة
بريئة
بصيرة
بيان
بدر
ترف
تقوى
ثابتة
ثراء
حافظة
حبيبة
حليمة
حورية
حور
خديجة
خاشعة
خيرات
دعاء
رؤى
رحاب
رضوى
رقية
روضة
زبرجد
توبا
ميرفي
بيرين
هاندا
نور
جانسو
أبية
أرواح
أريحا
أسيمة
أشجان
أفكار
ألحان
ألطاف
ألماس
أليفة
بشرى
بلبلة
بنفسج
بهية
بيان
بيداء
أريج
ريمان
دارين
رَوْشَم
رُبَى
لُجَيْن
سنا
سيرين
نارنج
ريناد
أنما
أثير
أسيل
آيسل
باهي
ترنيم
جيداء
جيانا
خولة
دنى
دجى
دانة
ريمة
رهف
رهيف
روبي
ريتاج
ريوف
رفال
ريتال
زيزفون
سلافة
شدو
ضي
طيف
عنود
جوهرة
بندري
لؤلؤة
لطيفة
مشاعل
موضى
فهدة
صيتة
نورة
طرفة
أريج
أحلام
أسماء
ألفت
أمل
أميرة
إنجي
إلهام
إيمان
جليلة
سارة
سرينا
راقية
دعاء
طيف
ديمة/ديما
جنى
رغد
لين
حلا
ليليان
جوانا
يارا
سند
أنمار
نيروز
لتين
تالة
جمانة
تمارة
أروى
أريج
تارا
استبرق
سندس
انديا
باري
بريهان
بهار
بيلارا
تاج
تولين
شاهنده
شاهي
شويكار
شيرين
فريال
آنيا
اولغا
تيانا
دينارا
ميلانا
نينا
يلينا
ايكاترينا
أوليان
زويا
نادين
كارميليتا
سولانا
جاسي
ايريني
لوسيا
انجيل
أداليا
كارمن
نتاليا
أرندا
ميلا
ماريسول
مارجيوريتا
مارتيزا
ماتيلدا
ميلانيا
مونيكا
ماتيا
ميسكا
صوفيا
سابرينا
نوريتا
دلمار
إيفا
ماريا
أليسيا
لندا
أماليا
أستيلا
روزا
باسكال
كلارا
إلينا
ريفال
إستير
سافانا
ماري
أدورا
آريانا
آريسا
آسيلا
إليانور
أليتا
ماريسا
سياتا
روزيلا
فيليا
أليس
مارجريتا
ماربه
هيدا
هيلينا
راسيل
مارتينا
ثاندي
اليسا
دونا
بيانكي
نوالا
تريزا
لومينا
كارن
سارة
فريدريكا
اشلي
كريستال
جنيفر
جاسيكا
كاميلا
إريكا
إيف
إيفلين
أوليفيا
آنَا
أنجيل
باتريشيا
تيريزا
راشيل
اماندا
جاكلين
سامنتا
لين، ليان
سما، سنا
روان، رزان
ولاء، آلاء
ندى، شذى
آمنة، أمينة
غادة، ميادة
رانيا، هانيا
فداء، نداء
أسيل، أثير
جوري، جورية
هنا وسما
روان و رزان
منال ومنار
سما وسنا
لارا وكلارا
سمر وقمر
ولاء وآلاء
ندى وشذى
فداء ونداء
آلاء ورواء
علياء وفيحاء
علا ومنى
هدير وأسيل
نور وحور
إيمان وإحسان
يارا وتالا
أبرار وأسحار
سحر وقمر
بريهان وشريهان
شاهيناز وصافيناز
خلود وعنود
ضحى وسجى
بيسان وامتنان
ريم وريما
هالة وهلا
أشجان وجيهان
كريمان وناريمان
سيرين وشيرين
دعاء وآلاء
هناء وفيحاء
ندى وهدى
أماني وتهاني
أنغام وأحلام
هنا وسما
لينا ودينا
عنود
عهد
غيداء
غروب
فتون
فيحاء
لين
لآليء
ميسم
مايا
مارينا
ميسم
نيرسيان
هيا
هنيدة
هتون
وئام
أرجوان
لاما
لمار
لانا
سجى
روفيدا
أروى
إيلاف
نارجيل
حَوْراء
ثريا
آرام
أيٌان
أغاريد
إيثار
أديم
أماسي
أفيان
بيلسان
بتول
تماره
تالا
تسنيم
جنى
جوانة
جمانة
جوري
جودي
ديمة
ديالا
ريم
رنيم
رواء
ريمان
رزان
راجين
روزانا
ريماز
رول
رفيف
زمردة
سماهر
شهد
شهدة
شادن
كادي
كندة
لينة
لمى
ليان
لمار
